"","t","crop","cover","country","annual_yield","fym","biomass_distrib","residues","cc","cc_name","tillage_cr","DR","flag","cf1","cf2","cf3"
"1",0.0833333333333333,"COTTON",0,"US",1.335,0,0,0,1,"winter",1,1.44,"Treatment",1,0.333333333333333,1
"2",0.166666666666667,"COTTON",0,"US",1.335,0,0,0,1,"winter",1,1.44,"Treatment",1,0.333333333333333,1
"3",0.25,"COTTON",0,"US",1.335,0,0,0,1,"winter",1,1.44,"Treatment",1,0.333333333333333,1
"4",0.333333333333333,"COTTON",0,"US",1.335,0,0,0,1,"winter",1,1.44,"Treatment",1,0.333333333333333,1
"5",0.416666666666667,"COTTON",0,"US",1.335,0,0,0,1,"winter",1,1.44,"Treatment",1,0.333333333333333,1
"6",0.5,"COTTON",0,"US",1.335,0,0,0,1,"winter",1,1.44,"Treatment",1,0.333333333333333,1
"7",0.583333333333333,"COTTON",0,"US",1.335,0,0,0,1,"winter",1,1.44,"Treatment",1,0.333333333333333,1
"8",0.666666666666667,"COTTON",0,"US",1.335,0,1,0.141512720125,1,"winter",1,1.44,"Treatment",1,0.333333333333333,1
"9",0.75,"COTTON",0,"US",1.335,0,0,0,0,"winter",1,1.44,"Treatment",1,0.333333333333333,1
"10",0.833333333333333,"COTTON",0,"US",1.335,0,0,0,0,"winter",1,1.44,"Treatment",1,0.333333333333333,1
"11",0.916666666666667,"COTTON",0,"US",1.335,0,0,0,1,"winter",1,1.44,"Treatment",1,0.333333333333333,1
"12",1,"COTTON",0,"US",1.335,0,0,0,1,"winter",1,1.44,"Treatment",1,0.333333333333333,1
"13",1.08333333333333,"COTTON",0,"US",1.335,0,0,0,1,"winter",1,1.44,"Treatment",1,0.333333333333333,1
"14",1.16666666666667,"COTTON",0,"US",1.335,0,0,0,1,"winter",1,1.44,"Treatment",1,0.333333333333333,1
"15",1.25,"COTTON",0,"US",1.335,0,0,0,1,"winter",1,1.44,"Treatment",1,0.333333333333333,1
"16",1.33333333333333,"COTTON",0,"US",1.335,0,0,0,1,"winter",1,1.44,"Treatment",1,0.333333333333333,1
"17",1.41666666666667,"COTTON",0,"US",1.335,0,0,0,1,"winter",1,1.44,"Treatment",1,0.333333333333333,1
"18",1.5,"COTTON",0,"US",1.335,0,0,0,1,"winter",1,1.44,"Treatment",1,0.333333333333333,1
"19",1.58333333333333,"COTTON",0,"US",1.335,0,0,0,1,"winter",1,1.44,"Treatment",1,0.333333333333333,1
"20",1.66666666666667,"COTTON",0,"US",1.335,0,1,0.141512720125,1,"winter",1,1.44,"Treatment",1,0.333333333333333,1
"21",1.75,"COTTON",0,"US",1.335,0,0,0,0,"winter",1,1.44,"Treatment",1,0.333333333333333,1
"22",1.83333333333333,"COTTON",0,"US",1.335,0,0,0,0,"winter",1,1.44,"Treatment",1,0.333333333333333,1
"23",1.91666666666667,"COTTON",0,"US",1.335,0,0,0,1,"winter",1,1.44,"Treatment",1,0.333333333333333,1
"24",2,"COTTON",0,"US",1.335,0,0,0,1,"winter",1,1.44,"Treatment",1,0.333333333333333,1
"25",2.08333333333333,"COTTON",0,"US",1.335,0,0,0,1,"winter",1,1.44,"Treatment",1,0.333333333333333,1
"26",2.16666666666667,"COTTON",0,"US",1.335,0,0,0,1,"winter",1,1.44,"Treatment",1,0.333333333333333,1
